Names,Age,Points,Score,height
John,19,164,2,109
Peter,27,231,6,94
Mark,16,158,2,93
Patricia,27,297,10,112
Michael,16,204,8,97
Jane,15,274,8,108
Ronah,15,188,6,113
Kevin,20,261,7,114
Kizito,20,201,6,90
Ian,30,187,9,115
